Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,Salary,Seas_Played,Plyd_2024,Awards_2024
Laeticia Amihere,GSV,F,29,385,18.3,0.55,0.469,0.184,0.553,10.8,19,13.3,2.4,3.6,18.4,21,105,96,0.5,1,1.5,0.156,53307,3,1,0
Leïla Lacan,CON,G,25,665,15.9,0.548,0.511,0.307,0.193,2.9,5.3,26,4.3,0.6,16.6,19.4,104,109,0.7,0.5,1.2,0.07,72455,1,0,0
Leonie Fiebich,NYL,F,37,1041,12.1,0.646,0.604,0.543,0.281,2.7,7.3,9.7,1.7,1.2,15.3,13,115,106,1.8,1.3,3,0.117,68595,5,1,0
Lexi Held,PHO,G,32,471,9.8,0.489,0.463,0.555,0.134,2.6,4.1,12.2,2.5,1,13.9,19.3,94,105,-0.2,0.6,0.4,0.034,66079,1,0,0
Lexie Brown,SEA,G,24,227,8.5,0.487,0.458,0.771,0.208,1,4.5,14.5,2,0.4,10.3,11.8,103,106,0.1,0.3,0.4,0.069,96408,8,1,0
Lexie Hull,IND,G,44,1189,10.5,0.503,0.487,0.502,0.12,6.2,9.7,9.7,2.2,0.5,11.5,13.4,107,105,1.1,1.6,2.7,0.091,88261,4,1,0
Li Yueru,TOT,C,31,519,13.6,0.534,0.471,0.359,0.327,11.1,15.7,8.7,0.9,1.7,14.6,17.3,108,111,0.7,0.2,0.9,0.071,66079,3,1,0
Liatu King,TOT,F,14,136,8.4,0.565,0.5,0.222,0.556,10.6,12.7,4.5,0.7,0,24.7,14.6,99,115,0,0,0,0.005,21657,1,0,0
Lindsay Allen,CON,G,31,450,6.6,0.493,0.423,0.277,0.354,2.3,4.2,21.5,1.2,1.3,29.2,10.7,93,116,-0.2,-0.2,-0.3,-0.029,90000,7,1,0
Lucy Olsen,WAS,G,41,508,10.4,0.496,0.475,0.44,0.107,2.7,5.8,17,1.5,0.9,11.2,17,100,108,0.2,0.4,0.6,0.046,69267,1,0,0
Luisa Geiselsöder,DAL,C,28,628,12,0.522,0.511,0.525,0.061,4.2,12.2,11.1,1.8,2.9,13.2,14.7,102,110,0.4,0.4,0.8,0.048,66079,1,0,0
Mackenzie Holmes,SEA,F,10,58,14,0.714,0.714,0,0,6,9.3,5,4.4,1.5,0,5.5,156,98,0.1,0.1,0.3,0.191,48865,1,0,0
Maddy Siegrist,DAL,F,26,702,17.4,0.56,0.539,0.301,0.216,8.2,9.1,5.3,1.4,2,4.5,19.1,117,114,1.8,0,1.8,0.105,83371,3,1,0
Maddy Westbeld,CHI,F,26,354,10.4,0.478,0.443,0.41,0.152,7.1,10.3,10.9,1.9,1.9,12.5,16.3,100,112,0.1,0.1,0.2,0.028,69267,1,0,0
Madison Scott,WAS,G-F,9,47,8.4,0.549,0.455,0.091,0.364,2.6,1.3,7.2,2.2,0,7.3,13.5,113,110,0.1,0,0.1,0.086,16103,1,0,0
Makayla Timpson,IND,F-C,31,219,17.8,0.595,0.561,0,0.474,9.8,15.8,0.7,3,3.3,10.4,15.7,116,99,0.5,0.5,1,0.175,69267,1,0,0
Mamignan Touré,CON,G,18,147,5.1,0.462,0.462,0.564,0,3.1,2.8,10.3,2.5,0,17,14.5,87,115,-0.2,0,-0.2,-0.05,29430,1,0,0
Maria Kliundikova,MIN,F,34,373,19.6,0.539,0.531,0.195,0.164,14.1,16.3,8.1,3.5,6.4,14.4,19.7,106,94,0.5,1.1,1.6,0.175,54418,1,0,0
Marième Badiane,MIN,C,3,11,-18.2,0,0,0.333,0,11.1,5.4,0,9.5,0,40,20.9,15,89,-0.1,0,-0.1,-0.367,12216,1,0,0
Marina Mabrey,CON,G,35,1103,11.1,0.477,0.434,0.5,0.189,1.8,7.9,24.3,1.1,0.9,15.6,25.8,92,114,-1.1,-0.1,-1.1,-0.041,210000,7,1,0
Marine Johannes,NYL,G,44,803,10.6,0.54,0.526,0.75,0.075,2,6.1,14.2,1.6,1.4,16.6,18,96,106,-0.1,0.9,0.8,0.04,66079,5,0,0
Marquesha Davis,TOT,G,11,52,0.2,0.382,0.2,0.4,0.7,6.9,7.8,2.7,0,3.6,31.4,16.7,67,112,-0.2,0,-0.2,-0.143,40065,2,1,0
Maya Caldwell,ATL,G,41,760,12.7,0.542,0.526,0.564,0.103,5.2,9.9,15.2,2.6,0.8,16.4,14.7,107,100,0.8,1.5,2.4,0.125,66079,4,1,0
Megan DiLeo,LVA,C,20,226,5.6,0.472,0.465,0.684,0.263,4.1,9.3,3.4,0.7,2.3,8.6,14.1,96,107,0,0.2,0.2,0.032,96820,7,1,0
Megan McConnell,PHO,G,1,13,15.4,0.375,0.375,0.5,0,8.6,4.4,34.6,3.9,0,0,13.8,119,104,0,0,0.1,0.162,31096,1,0,0
Mercedes Russell,LAS,C,20,163,9.6,0.513,0.444,0,0.519,7.5,8.8,10.7,1.6,2.3,17.4,11,108,113,0.2,0,0.2,0.046,80672,7,1,0
Michaela Onyenwere,CHI,F,42,711,7.8,0.525,0.479,0.322,0.242,2.8,5.7,11.7,1.2,0.5,19.3,18.3,94,116,-0.3,-0.2,-0.5,-0.026,125000,5,1,0
Monique Akoa Makani,PHO,G,41,881,12.2,0.556,0.523,0.464,0.155,3.2,5.9,20.5,1.9,0.3,16.3,17.3,107,106,1.2,1,2.2,0.099,66079,1,0,0
Monique Billings,GSV,F,26,474,16.9,0.545,0.51,0.238,0.351,9.3,14.3,5.8,1.8,4.7,10.8,19.2,108,99,0.7,1,1.7,0.145,110000,6,1,0
Moriah Jefferson,CHI,G,5,35,9.6,0.438,0.438,0.375,0,0,8.4,41.8,0,0,20,12.8,104,116,0,0,0,0.017,145500,8,1,0
Murjanatu Musa,PHO,C,12,122,13.6,0.502,0.471,0.057,0.314,16.6,14.5,9.4,1.7,1.5,14.9,17.3,107,104,0.2,0.2,0.3,0.109,31096,1,0,0
Myisha Hines-Allen,DAL,F,40,882,13.8,0.529,0.482,0.241,0.333,7.2,15.6,21,1.8,1.9,23.4,18.4,98,109,0.1,0.6,0.8,0.034,203000,8,1,0
NaLyssa Smith,TOT,F,45,956,13.1,0.544,0.517,0.101,0.404,8.8,14,5.7,1.3,2.8,14,17.1,105,107,0.9,1,1.9,0.081,91981,4,1,0
Napheesa Collier,MIN,F,33,1065,30.2,0.636,0.579,0.239,0.33,7.1,13.5,18.2,2.7,4.3,10.6,28.6,123,96,5.5,2.7,8.3,0.31,214284,7,1,1
Natasha Cloud,NYL,G,41,1191,14.2,0.546,0.507,0.441,0.198,1.5,7.4,28.9,2.1,1.1,16.9,17.7,108,104,1.8,1.7,3.5,0.117,200000,7,1,0
Natasha Howard,IND,F,44,1060,19.3,0.595,0.561,0.091,0.365,9.7,16.6,10.5,2.5,2.1,16.8,21.4,109,100,2.1,2.1,4.2,0.157,214466,8,1,0
Natasha Mack,PHO,F-C,34,623,19.5,0.569,0.573,0.032,0.29,14.1,18.1,7.7,2.5,7.9,9.7,11.2,125,96,1.6,1.7,3.2,0.207,116079,3,1,0
Natisha Hiedeman,MIN,G,44,833,17.9,0.593,0.567,0.404,0.218,1.6,5.9,23.8,2,1,13.8,21.5,114,103,2.2,1.3,3.5,0.169,135000,7,1,0
Naz Hillmon,ATL,F,44,1122,15.8,0.583,0.552,0.55,0.197,7.4,14.3,15,1,1.4,13.3,15.4,118,102,2.7,2,4.8,0.17,80823,4,1,0
Nia Coffey,ATL,F,44,455,14.1,0.503,0.456,0.558,0.34,6.9,14.8,16.1,1.2,3.4,15.1,20.1,103,99,0.4,1,1.4,0.121,150000,6,1,0
Nneka Ogwumike,SEA,F,44,1359,21.8,0.6,0.572,0.292,0.191,5.1,13.7,13.5,1.9,1.2,11.3,25.4,110,102,3.3,2.4,5.7,0.168,195000,9,1,0
