Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,Salary,Seas_Played,Plyd_2024,Awards_2024
Teaira McCowan,DAL,C,17,219,20.3,0.596,0.545,0.03,0.433,15.1,20.4,7.8,1.2,5.2,16.7,19,113,108,0.5,0.2,0.7,0.127,201400,7,1,0
Te-Hina PaoPao,ATL,G,43,720,13.1,0.559,0.557,0.606,0.06,1.7,5.7,23.7,1.5,1.1,16.4,17.1,108,104,1,1.1,2.1,0.115,69267,1,0,0
Temi Fagbenle,GSV,C,39,925,12.9,0.544,0.526,0.249,0.145,9,12,12.5,2,2.6,18,16.3,103,101,0.7,1.7,2.4,0.103,90000,4,1,0
Tiffany Hayes,GSV,G,26,700,14.1,0.557,0.504,0.426,0.338,3.1,8.4,21.2,1.1,0.6,15.3,21.4,107,105,1.1,0.9,1.9,0.111,200000,8,1,1
Tiffany Mitchell,TOT,G,39,510,5.9,0.514,0.446,0.294,0.461,2.5,4.9,3.5,1.4,1.4,16.4,13.1,93,108,-0.2,0.5,0.3,0.022,83186,8,1,0
Tina Charles,CON,C,43,1222,17.7,0.515,0.449,0.078,0.331,5.8,12.1,12.7,1.4,1.5,10.8,28.3,102,112,1.1,0.3,1.5,0.048,170000,7,1,0
Tyasha Harris,DAL,G,5,82,13.7,0.609,0.583,0.611,0.111,1.3,3.5,24.2,1.2,2.3,13.7,11.6,125,115,0.2,0,0.2,0.095,100013,6,1,0
Veronica Burton,GSV,G,44,1292,19.3,0.561,0.466,0.46,0.491,4.6,8.7,37.6,2.1,2.2,16.7,20.3,117,102,4.2,2.2,6.4,0.198,103831,4,1,0
Yvonne Anderson,MIN,G,1,12,1.2,0,0,0.333,0,0,5,20.8,8.7,0,0,11.5,44,88,-0.1,0,0,-0.034,92774,2,0,0
Zia Cooke,SEA,G,26,261,5.6,0.478,0.446,0.452,0.274,2.7,3.2,8.1,2,0.3,18.9,20.4,83,107,-0.5,0.3,-0.3,-0.043,79961,3,1,0
